student_uid,student_name,college_email,college_name,department,current_year,current_semester,attendance_rate,avg_internal,cgpa,backlog_count,fee_status,normalized_engagement,scholarship_status
879032848732,Aditya Banerjee,aditya.banerjee8604@lpu.in,Lovely Professional University,Information Technology,4,7,82,71,7.07,0,paid,0.74,no
450236794853,Yash Joshi,yash.joshi4196@rvce.edu.in,RV College of Engineering,Electronics and Communication Engineering,4,8,70,64,6.85,2,paid,0.59,no
306088974834,Kabir Singh,kabir.singh6751@msrit.edu,MS Ramaiah Institute of Technology,Electronics and Communication Engineering,4,8,72,60,8.08,1,paid,0.63,no
345108407642,Ramesh Singh,ramesh.singh1701@mitwpu.edu.in,MIT World Peace University,Electrical and Electronics Engineering,2,3,53,47,5.11,5,unpaid,0.39,no
363314936861,Anjali Deshmukh,anjali.deshmukh328@bmsce.ac.in,BMS College of Engineering,Civil Engineering,3,6,69,69,6.96,1,paid,0.75,no
537109476486,Abhinav Kulkarni,abhinav.kulkarni626@srmist.edu.in,SRM Institute of Science and Technology,Electrical and Electronics Engineering,4,7,70,60,7.13,0,paid,0.53,no
692061896933,Aditi Iyer,aditi.iyer9258@lpu.in,Lovely Professional University,Information Technology,2,4,72,73,7.33,2,paid,0.65,no
875596631746,Ritik Tiwari,ritik.tiwari4945@manipal.edu,Manipal Institute of Technology,Mechanical Engineering,1,1,66,70,7.77,1,paid,0.65,no
980981931444,Aarti Sharma,aarti.sharma4617@bmsce.ac.in,BMS College of Engineering,Civil Engineering,4,8,70,70,7.21,0,paid,0.78,no
451266927393,Ishaan Iyer,ishaan.iyer4654@nmamit.nitte.edu.in,NMAM Institute of Technology,Computer Science and Engineering,3,6,82,74,8.14,2,paid,0.51,no
737591674407,Sumit Menon,sumit.menon7806@manipal.edu,Manipal Institute of Technology,Electrical and Electronics Engineering,3,6,95,91,9.5,0,paid,0.87,yes
241050650330,Arjun Nair,arjun.nair2791@rvce.edu.in,RV College of Engineering,Electrical and Electronics Engineering,1,1,100,92,9.55,0,paid,0.81,yes
603025968870,Akash Verma,akash.verma9579@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,Electrical and Electronics Engineering,3,5,85,100,8.72,0,paid,0.86,no
337167320810,Khushi Banerjee,khushi.banerjee2251@manipal.edu,Manipal Institute of Technology,Mechanical Engineering,4,7,43,38,5.75,2,paid,0.45,no
956648136889,Aarti Kumar,aarti.kumar6015@bmsce.ac.in,BMS College of Engineering,Electronics and Communication Engineering,3,6,89,91,8.53,0,paid,0.89,yes
564412357584,Anjali Mukherjee,anjali.mukherjee8506@pes.edu,PES University,Information Technology,3,5,46,49,4.33,1,unpaid,0.19,no
775272259584,Rahul Chatterjee,rahul.chatterjee6398@dayanandasagar.edu,Dayananda Sagar College of Engineering,Information Technology,1,1,71,75,8.09,0,delayed,0.72,no
616155489942,Rohan Rajput,rohan.rajput7933@hithaldia.ac.in,Haldia Institute of Technology,Computer Science and Engineering,4,7,100,82,8.75,0,paid,0.82,yes
873711919687,Ananya Chatterjee,ananya.chatterjee5407@srmist.edu.in,SRM Institute of Science and Technology,Electronics and Communication Engineering,2,4,51,45,6.48,5,unpaid,0.19,no
669655194326,Sonam Deshmukh,sonam.deshmukh6668@msrit.edu,MS Ramaiah Institute of Technology,Computer Science and Engineering,3,5,98,95,8.7,0,paid,0.84,no
754012318734,Sumit Sharma,sumit.sharma7934@lpu.in,Lovely Professional University,Civil Engineering,3,5,81,69,6.69,0,paid,0.72,no
742172332973,Atharva Chauhan,atharva.chauhan8270@lpu.in,Lovely Professional University,Information Technology,4,7,75,70,7.97,1,paid,0.68,no
995089949972,Dev Chatterjee,dev.chatterjee5544@nmamit.nitte.edu.in,NMAM Institute of Technology,Computer Science and Engineering,3,6,71,77,7.94,1,paid,0.64,no
298205914730,Priya Sengupta,priya.sengupta1781@vit.ac.in,Vellore Institute of Technology,Civil Engineering,4,7,53,40,4.86,2,unpaid,0.32,no
538318322368,Pranav Reddy,pranav.reddy5674@thapar.edu,Thapar Institute of Engineering and Technology,Electrical and Electronics Engineering,3,6,41,47,5.42,2,paid,0.16,no
715183707270,Aryan Iyer,aryan.iyer9185@kiit.ac.in,KIIT University,Information Technology,4,7,59,37,6.29,1,unpaid,0.39,no
749399477285,Ramesh Rajput,ramesh.rajput3684@manipal.edu,Manipal Institute of Technology,Electronics and Communication Engineering,4,8,42,38,6.18,1,delayed,0.38,no
189363791719,Aaryan Chaudhary,aaryan.chaudhary593@pes.edu,PES University,Information Technology,1,2,71,69,7.15,1,paid,0.55,no
264739814400,Sanjay Chatterjee,sanjay.chatterjee8161@manipal.edu,Manipal Institute of Technology,Electrical and Electronics Engineering,4,8,80,61,8.24,2,delayed,0.61,no
286961750847,Sumit Pandey,sumit.pandey8333@bmsce.ac.in,BMS College of Engineering,Civil Engineering,4,7,96,97,9.08,0,paid,0.93,no
424872203033,Swati Chatterjee,swati.chatterjee5249@nmamit.nitte.edu.in,NMAM Institute of Technology,Civil Engineering,3,5,99,97,8.78,0,paid,0.95,yes
452147619540,Sonam Rao,sonam.rao2631@bmsce.ac.in,BMS College of Engineering,Electronics and Communication Engineering,4,8,43,47,6.13,2,delayed,0.1,no
188263327682,Amit Menon,amit.menon4115@amity.edu,Amity University,Electronics and Communication Engineering,1,1,65,63,7.91,0,delayed,0.58,no
410871930896,Dhruv Shah,dhruv.shah4436@dayanandasagar.edu,Dayananda Sagar College of Engineering,Electronics and Communication Engineering,1,1,84,75,6.98,0,paid,0.58,no
782443653271,Mukesh Patel,mukesh.patel669@kiit.ac.in,KIIT University,Mechanical Engineering,1,2,74,79,7.36,0,paid,0.57,no
463392773634,Sanjay Shah,sanjay.shah5082@msrit.edu,MS Ramaiah Institute of Technology,Civil Engineering,4,8,86,100,9.54,0,paid,0.97,no
793172871586,Vivaan Gupta,vivaan.gupta9086@nmamit.nitte.edu.in,NMAM Institute of Technology,Civil Engineering,1,1,82,61,8.44,1,paid,0.75,no
974380793907,Abhishek Patil,abhishek.patil8396@kiit.ac.in,KIIT University,Civil Engineering,1,2,78,79,8.36,2,paid,0.71,no
559428757608,Abhinav Nair,abhinav.nair8778@rvce.edu.in,RV College of Engineering,Information Technology,3,5,70,75,6.7,2,paid,0.55,no
517147538464,Atharva Kulkarni,atharva.kulkarni4233@manipal.edu,Manipal Institute of Technology,Mechanical Engineering,2,4,83,63,6.7,0,delayed,0.75,no
462991241261,Pranav Chauhan,pranav.chauhan7971@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,Civil Engineering,3,5,76,78,7.24,2,paid,0.61,no
989759781529,Ananya Mukherjee,ananya.mukherjee4162@bmsce.ac.in,BMS College of Engineering,Electronics and Communication Engineering,1,1,68,67,6.71,1,delayed,0.59,no
894058196956,Ananya Joshi,ananya.joshi9516@hithaldia.ac.in,Haldia Institute of Technology,Electronics and Communication Engineering,3,5,81,76,6.68,2,paid,0.53,no
764661208874,Shreya Singh,shreya.singh3255@srmist.edu.in,SRM Institute of Science and Technology,Information Technology,4,8,92,88,9.31,0,paid,0.9,no
114545764417,Mukesh Tiwari,mukesh.tiwari4796@dayanandasagar.edu,Dayananda Sagar College of Engineering,Information Technology,1,2,54,48,4.22,3,unpaid,0.13,no
394083626759,Manoj Patil,manoj.patil7612@lpu.in,Lovely Professional University,Computer Science and Engineering,3,6,73,78,7.41,2,paid,0.53,no
724030702054,Sumit Gupta,sumit.gupta4780@nmamit.nitte.edu.in,NMAM Institute of Technology,Computer Science and Engineering,4,7,73,79,8.49,1,paid,0.61,no
193073408864,Vivek Nair,vivek.nair4880@thapar.edu,Thapar Institute of Engineering and Technology,Electrical and Electronics Engineering,4,7,99,83,8.65,0,paid,0.83,yes
762014230804,Yash Mukherjee,yash.mukherjee8129@vit.ac.in,Vellore Institute of Technology,Computer Science and Engineering,3,6,46,48,6.15,2,paid,0.24,no
752755773805,Aditi Chatterjee,aditi.chatterjee1508@manipal.edu,Manipal Institute of Technology,Information Technology,1,2,73,63,8.32,1,paid,0.62,no
406540824069,Krishna Iyer,krishna.iyer7906@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,Mechanical Engineering,3,5,100,86,8.78,0,paid,0.82,no
825877779330,Ramesh Pandey,ramesh.pandey5057@pes.edu,PES University,Information Technology,4,7,93,94,8.97,0,paid,0.9,yes
287323948377,Vivek Verma,vivek.verma8898@mitwpu.edu.in,MIT World Peace University,Electrical and Electronics Engineering,3,6,62,54,4.52,3,paid,0.4,no
534436906476,Shreya Rao,shreya.rao5487@kiit.ac.in,KIIT University,Mechanical Engineering,2,3,84,67,6.58,0,delayed,0.53,no
482908135514,Raj Chatterjee,raj.chatterjee3195@nmamit.nitte.edu.in,NMAM Institute of Technology,Mechanical Engineering,3,6,90,88,9.26,0,paid,0.85,no
116074408153,Vikas Bose,vikas.bose6629@vit.ac.in,Vellore Institute of Technology,Electronics and Communication Engineering,2,4,52,53,4.55,2,unpaid,0.26,no
712338425007,Sonam Chaudhary,sonam.chaudhary5663@pes.edu,PES University,Civil Engineering,2,3,68,68,7.1,2,delayed,0.64,no
713347517608,Aditi Patil,aditi.patil6034@bmsce.ac.in,BMS College of Engineering,Computer Science and Engineering,3,5,68,70,8.33,1,paid,0.55,no
764119754768,Rahul Yadav,rahul.yadav4367@kiit.ac.in,KIIT University,Civil Engineering,1,1,91,87,9.26,0,paid,0.83,yes
297183841868,Vivek Joshi,vivek.joshi6503@vit.ac.in,Vellore Institute of Technology,Electrical and Electronics Engineering,1,1,69,79,7.14,1,delayed,0.74,no
848924813122,Ananya Reddy,ananya.reddy2813@thapar.edu,Thapar Institute of Engineering and Technology,Electronics and Communication Engineering,1,1,98,86,8.55,0,paid,0.91,no
320925284481,Abhinav Rao,abhinav.rao1349@hithaldia.ac.in,Haldia Institute of Technology,Electronics and Communication Engineering,3,6,78,75,7.4,0,paid,0.56,no
222384928776,Karthik Pandey,karthik.pandey103@thapar.edu,Thapar Institute of Engineering and Technology,Civil Engineering,1,1,74,78,6.56,2,paid,0.51,no
136458994657,Khushi Mishra,khushi.mishra746@dayanandasagar.edu,Dayananda Sagar College of Engineering,Electrical and Electronics Engineering,4,8,74,73,6.58,0,paid,0.73,no
203414934986,Pranav Bose,pranav.bose5341@dayanandasagar.edu,Dayananda Sagar College of Engineering,Electrical and Electronics Engineering,4,7,80,60,7.13,2,paid,0.51,no
885082419823,Rohan Nair,rohan.nair1853@vit.ac.in,Vellore Institute of Technology,Electrical and Electronics Engineering,1,1,79,61,7.82,2,delayed,0.68,no
993084409314,Krishna Kumar,krishna.kumar7909@mitwpu.edu.in,MIT World Peace University,Computer Science and Engineering,3,6,99,100,9.39,0,paid,0.83,yes
155198373510,Ayaan Kulkarni,ayaan.kulkarni6332@lpu.in,Lovely Professional University,Civil Engineering,1,1,67,64,6.98,0,delayed,0.64,no
266037245225,Aryan Banerjee,aryan.banerjee1128@thapar.edu,Thapar Institute of Engineering and Technology,Information Technology,2,4,42,58,5.65,1,delayed,0.22,no
140245739060,Anjali Chauhan,anjali.chauhan5629@srmist.edu.in,SRM Institute of Science and Technology,Electrical and Electronics Engineering,4,8,46,36,6.21,4,delayed,0.36,no
572267748790,Raj Rao,raj.rao6717@kiit.ac.in,KIIT University,Civil Engineering,3,6,91,91,9.34,0,paid,0.92,no
346540274552,Vivaan Patil,vivaan.patil2807@lpu.in,Lovely Professional University,Civil Engineering,1,2,52,37,6.22,5,paid,0.22,no
437758543425,Shreya Deshmukh,shreya.deshmukh1466@msrit.edu,MS Ramaiah Institute of Technology,Electronics and Communication Engineering,3,5,65,71,7.46,1,delayed,0.74,no
977420167875,Manoj Chatterjee,manoj.chatterjee6452@bmsce.ac.in,BMS College of Engineering,Mechanical Engineering,3,6,69,68,7.8,1,paid,0.73,no
975225201766,Aryan Patil,aryan.patil2269@srmist.edu.in,SRM Institute of Science and Technology,Electrical and Electronics Engineering,1,2,65,65,7.87,0,paid,0.54,no
631441576428,Mukesh Kumar,mukesh.kumar7682@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,Mechanical Engineering,3,5,72,67,8,0,paid,0.71,no
621278503326,Abhishek Chatterjee,abhishek.chatterjee8838@srmist.edu.in,SRM Institute of Science and Technology,Electrical and Electronics Engineering,3,5,79,79,7.88,1,paid,0.53,no
905499313398,Pranav Menon,pranav.menon4255@kiit.ac.in,KIIT University,Information Technology,3,6,72,76,8.13,1,paid,0.64,no
487913854439,Shreya Patil,shreya.patil7214@vit.ac.in,Vellore Institute of Technology,Mechanical Engineering,4,8,64,38,4.31,4,delayed,0.22,no
971467753422,Amit Chauhan,amit.chauhan4760@manipal.edu,Manipal Institute of Technology,Information Technology,4,8,75,78,7.91,0,paid,0.58,no
466598341706,Rahul Iyer,rahul.iyer9589@msrit.edu,MS Ramaiah Institute of Technology,Civil Engineering,2,3,69,75,7.03,1,paid,0.77,no
712682583202,Atharva Thakur,atharva.thakur7176@srmist.edu.in,SRM Institute of Science and Technology,Information Technology,2,4,44,50,5.77,3,delayed,0.23,no
230374257531,Neha Singh,neha.singh5413@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,Electronics and Communication Engineering,1,2,65,62,7.15,0,paid,0.59,no
656845851700,Yash Shah,yash.shah7888@msrit.edu,MS Ramaiah Institute of Technology,Mechanical Engineering,3,6,63,35,5.15,5,delayed,0.22,no
459900350307,Pranav Mishra,pranav.mishra5763@hithaldia.ac.in,Haldia Institute of Technology,Electrical and Electronics Engineering,4,7,77,66,7.07,2,paid,0.72,no
104513968523,Shyam Reddy,shyam.reddy4944@dayanandasagar.edu,Dayananda Sagar College of Engineering,Civil Engineering,2,3,66,60,7.5,1,paid,0.74,no
731858947436,Raj Shah,raj.shah2865@thapar.edu,Thapar Institute of Engineering and Technology,Mechanical Engineering,4,7,65,77,6.83,2,paid,0.55,no
844844448652,Ishaan Kumar,ishaan.kumar9526@mitwpu.edu.in,MIT World Peace University,Information Technology,2,3,93,86,8.52,0,paid,0.87,yes
633320710235,Shruti Mishra,shruti.mishra4589@srmist.edu.in,SRM Institute of Science and Technology,Mechanical Engineering,3,6,66,72,7.79,0,paid,0.55,no
794048712623,Shreya Das,shreya.das9354@pes.edu,PES University,Information Technology,3,6,79,70,8.21,2,paid,0.71,no
794304707540,Aditya Sharma,aditya.sharma9935@srmist.edu.in,SRM Institute of Science and Technology,Mechanical Engineering,4,7,72,73,7.07,1,paid,0.63,no
615879484950,Swati Sharma,swati.sharma8534@thapar.edu,Thapar Institute of Engineering and Technology,Information Technology,3,6,95,81,9.49,0,paid,0.89,no
256320621484,Sanjay Verma,sanjay.verma1500@manipal.edu,Manipal Institute of Technology,Electrical and Electronics Engineering,2,4,69,65,8.4,1,paid,0.65,no
497847672494,Sneha Singh,sneha.singh8959@msrit.edu,MS Ramaiah Institute of Technology,Electronics and Communication Engineering,2,4,61,35,4.16,1,unpaid,0.19,no
487832359906,Swati Singh,swati.singh1971@hithaldia.ac.in,Haldia Institute of Technology,Electrical and Electronics Engineering,2,4,89,90,9.27,0,paid,0.85,no
712272602976,Rohan Menon,rohan.menon5132@pes.edu,PES University,Electrical and Electronics Engineering,3,5,69,69,6.83,1,paid,0.74,no
251654616324,Rahul Chauhan,rahul.chauhan5422@lpu.in,Lovely Professional University,Mechanical Engineering,3,6,65,65,8.33,1,delayed,0.57,no
692454771673,Atharva Desai,atharva.desai5309@msrit.edu,MS Ramaiah Institute of Technology,Information Technology,1,1,69,65,7.69,1,paid,0.64,no
836301944258,Swati Thakur,swati.thakur5231@vit.ac.in,Vellore Institute of Technology,Mechanical Engineering,1,1,73,78,7.65,2,paid,0.62,no
450507438594,Yash Bose,yash.bose4810@bmsce.ac.in,BMS College of Engineering,Civil Engineering,2,3,89,86,8.84,0,paid,0.88,no
357192373695,Akash Chauhan,akash.chauhan3838@vit.ac.in,Vellore Institute of Technology,Mechanical Engineering,2,3,87,86,9.55,0,paid,0.93,no
903845676365,Ritik Patil,ritik.patil1200@pes.edu,PES University,Civil Engineering,3,5,82,72,8.4,2,paid,0.67,no
620571993953,Rahul Thakur,rahul.thakur9671@manipal.edu,Manipal Institute of Technology,Civil Engineering,4,8,96,92,9.36,0,paid,0.98,no
876078224555,Sneha Chaudhary,sneha.chaudhary6125@lpu.in,Lovely Professional University,Computer Science and Engineering,3,6,70,76,6.68,0,paid,0.53,no
900641995257,Shaurya Deshmukh,shaurya.deshmukh1569@rvce.edu.in,RV College of Engineering,Computer Science and Engineering,1,2,95,88,9.78,0,paid,0.92,no
997864538008,Reyansh Pandey,reyansh.pandey9711@nmamit.nitte.edu.in,NMAM Institute of Technology,Electrical and Electronics Engineering,2,3,82,73,7.59,0,delayed,0.51,no
984296931865,Vikas Menon,vikas.menon8793@lpu.in,Lovely Professional University,Mechanical Engineering,3,6,89,84,9.34,0,paid,0.9,yes
429252762773,Ramesh Banerjee,ramesh.banerjee6935@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,Information Technology,1,2,79,68,6.73,0,paid,0.69,no
443141146993,Ishaan Rao,ishaan.rao1109@srmist.edu.in,SRM Institute of Science and Technology,Civil Engineering,3,6,76,63,7.12,0,delayed,0.75,no
890480343914,Abhinav Patil,abhinav.patil5904@hithaldia.ac.in,Haldia Institute of Technology,Electrical and Electronics Engineering,4,8,94,93,9.18,0,paid,0.88,no
845789806178,Yash Yadav,yash.yadav6418@mitwpu.edu.in,MIT World Peace University,Electrical and Electronics Engineering,3,6,93,97,8.97,0,paid,0.82,yes
542445110492,Aditi Kulkarni,aditi.kulkarni9350@srmist.edu.in,SRM Institute of Science and Technology,Electronics and Communication Engineering,4,7,81,63,8.29,0,delayed,0.58,no
547884903755,Vivaan Tiwari,vivaan.tiwari3537@msrit.edu,MS Ramaiah Institute of Technology,Electronics and Communication Engineering,2,4,60,59,4.61,2,paid,0.18,no
827122117881,Abhishek Verma,abhishek.verma3124@manipal.edu,Manipal Institute of Technology,Information Technology,3,6,66,69,8.29,0,paid,0.68,no
290501131595,Kabir Sengupta,kabir.sengupta2865@nmamit.nitte.edu.in,NMAM Institute of Technology,Mechanical Engineering,1,2,99,85,8.79,0,paid,0.98,no
185709116472,Sneha Shah,sneha.shah8781@vit.ac.in,Vellore Institute of Technology,Mechanical Engineering,3,5,52,52,4.41,4,paid,0.31,no
530361879434,Sneha Mukherjee,sneha.mukherjee8374@msrit.edu,MS Ramaiah Institute of Technology,Mechanical Engineering,1,1,49,39,5.83,2,delayed,0.38,no
681576478871,Khushi Rao,khushi.rao3344@manipal.edu,Manipal Institute of Technology,Electrical and Electronics Engineering,4,8,91,86,8.61,0,paid,0.86,no
683449578446,Shaurya Gupta,shaurya.gupta1240@manipal.edu,Manipal Institute of Technology,Mechanical Engineering,3,5,73,79,7.92,2,paid,0.73,no
322191425132,Shruti Shah,shruti.shah1270@pes.edu,PES University,Information Technology,1,2,44,37,5.48,2,unpaid,0.36,no
439311738000,Mukesh Mishra,mukesh.mishra7475@hithaldia.ac.in,Haldia Institute of Technology,Electronics and Communication Engineering,4,7,50,43,4.91,5,paid,0.48,no
563249678250,Ishaan Mishra,ishaan.mishra3256@thapar.edu,Thapar Institute of Engineering and Technology,Information Technology,4,8,72,70,7.39,1,paid,0.6,no
490175362668,Ayaan Tiwari,ayaan.tiwari9801@bmsce.ac.in,BMS College of Engineering,Electronics and Communication Engineering,1,2,73,77,8.18,1,delayed,0.5,no
748079454725,Vivek Das,vivek.das4532@thapar.edu,Thapar Institute of Engineering and Technology,Mechanical Engineering,4,8,88,83,8.73,0,paid,0.99,no
516701577903,Ananya Patel,ananya.patel8527@thapar.edu,Thapar Institute of Engineering and Technology,Civil Engineering,1,2,80,66,7.09,0,paid,0.52,no
881041734232,Shaurya Mukherjee,shaurya.mukherjee8490@vit.ac.in,Vellore Institute of Technology,Computer Science and Engineering,4,8,57,42,4.23,4,unpaid,0.25,no
492281101163,Sneha Mishra,sneha.mishra9496@dayanandasagar.edu,Dayananda Sagar College of Engineering,Electrical and Electronics Engineering,1,2,67,63,7.24,1,paid,0.6,no
962795557848,Manoj Mishra,manoj.mishra2536@bmsce.ac.in,BMS College of Engineering,Mechanical Engineering,4,7,74,69,7.63,1,paid,0.62,no
121624412381,Vivek Iyer,vivek.iyer9092@nmamit.nitte.edu.in,NMAM Institute of Technology,Civil Engineering,2,3,61,37,5.03,1,delayed,0.44,no
581776824427,Sai Rajput,sai.rajput7956@mitwpu.edu.in,MIT World Peace University,Computer Science and Engineering,1,1,84,62,6.81,2,paid,0.51,no
353105400602,Anjali Mishra,anjali.mishra6882@amity.edu,Amity University,Mechanical Engineering,3,5,71,65,6.6,2,delayed,0.68,no
167964961283,Nidhi Singh,nidhi.singh784@bmsce.ac.in,BMS College of Engineering,Mechanical Engineering,4,7,84,65,7.73,2,delayed,0.63,no
164902314962,Sonam Tiwari,sonam.tiwari7431@pes.edu,PES University,Computer Science and Engineering,2,4,66,63,8.45,2,delayed,0.7,no
631109889872,Sanjay Reddy,sanjay.reddy1516@hithaldia.ac.in,Haldia Institute of Technology,Electrical and Electronics Engineering,1,1,73,61,7,2,paid,0.61,no
164875794462,Rohan Yadav,rohan.yadav914@msrit.edu,MS Ramaiah Institute of Technology,Information Technology,4,7,63,55,6.1,4,delayed,0.43,no
626747173814,Aditi Yadav,aditi.yadav3386@kiit.ac.in,KIIT University,Computer Science and Engineering,1,1,82,79,7.97,2,delayed,0.69,no
310670727555,Vivaan Chatterjee,vivaan.chatterjee3275@msrit.edu,MS Ramaiah Institute of Technology,Civil Engineering,3,5,75,70,6.88,0,paid,0.6,no
131258792624,Mukesh Chaudhary,mukesh.chaudhary9054@rvce.edu.in,RV College of Engineering,Electrical and Electronics Engineering,2,4,91,89,9.04,0,paid,0.92,yes
582078788084,Riya Chauhan,riya.chauhan8189@lpu.in,Lovely Professional University,Mechanical Engineering,4,8,88,87,9.17,0,paid,0.96,yes
712785634522,Reyansh Yadav,reyansh.yadav837@msrit.edu,MS Ramaiah Institute of Technology,Computer Science and Engineering,4,8,97,97,9.71,0,paid,0.82,no
460641640325,Vihaan Patel,vihaan.patel3762@lpu.in,Lovely Professional University,Electrical and Electronics Engineering,4,7,87,83,9.08,0,paid,0.81,yes
233286319955,Sai Bose,sai.bose5539@lpu.in,Lovely Professional University,Civil Engineering,3,5,65,69,6.69,0,paid,0.52,no
444670253311,Dhruv Deshmukh,dhruv.deshmukh569@pes.edu,PES University,Civil Engineering,4,8,75,64,7.78,2,paid,0.74,no
503908718417,Raj Deshmukh,raj.deshmukh1378@rvce.edu.in,RV College of Engineering,Electrical and Electronics Engineering,1,1,80,63,7.87,1,paid,0.75,no
443080616000,Pranav Banerjee,pranav.banerjee8810@srmist.edu.in,SRM Institute of Science and Technology,Electrical and Electronics Engineering,4,7,98,92,9.36,0,paid,0.85,no
964390336461,Kavya Verma,kavya.verma7300@nmamit.nitte.edu.in,NMAM Institute of Technology,Information Technology,3,5,80,76,7.78,2,paid,0.78,no
572631476108,Swati Rao,swati.rao7458@msrit.edu,MS Ramaiah Institute of Technology,Electronics and Communication Engineering,2,3,95,95,9.18,0,paid,0.91,yes
854294452017,Aarti Menon,aarti.menon1949@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,Information Technology,4,8,99,88,9.07,0,paid,0.94,no
459882395163,Manoj Pandey,manoj.pandey114@dayanandasagar.edu,Dayananda Sagar College of Engineering,Electronics and Communication Engineering,4,7,66,78,7.36,1,paid,0.77,no
854255768506,Rahul Rajput,rahul.rajput3093@mitwpu.edu.in,MIT World Peace University,Computer Science and Engineering,4,7,94,98,9.45,0,paid,1,yes
309767234955,Krishna Verma,krishna.verma5915@lpu.in,Lovely Professional University,Electronics and Communication Engineering,1,2,73,74,7.99,2,paid,0.67,no
557858522209,Amit Sengupta,amit.sengupta371@pes.edu,PES University,Electronics and Communication Engineering,1,1,70,73,7.57,2,paid,0.66,no
535915506458,Sanjay Desai,sanjay.desai7149@kiit.ac.in,KIIT University,Civil Engineering,1,2,80,74,7.13,2,paid,0.75,no
219257194988,Shruti Rajput,shruti.rajput8185@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,Civil Engineering,1,2,95,97,8.69,0,paid,0.98,no
