student_uid,student_name,college_email,college_name,current_year,current_semester,attendance_rate,avg_internal,cgpa,backlog_count,fee_status,normalized_engagement,scholarship_status,dropout_probability_percent
493143769566,Swati Chauhan,swati.chauhan758@nmamit.nitte.edu.in,NMAM Institute of Technology,3,5,89,59,8.87,1,paid,0.4,no,46.16
852489497236,Rahul Shah,rahul.shah495@amity.edu,Amity University,1,1,83,72,8.78,2,paid,0.42,yes,24.16
307053321930,Sonam Joshi,sonam.joshi82@thapar.edu,Thapar Institute of Engineering and Technology,2,3,73,82,7.97,2,paid,,no,19.51
766734257030,Dhruv Iyer,dhruv.iyer256@srmist.edu.in,SRM Institute of Science and Technology,3,5,77,60,6.25,2,paid,0.76,no,23.25
649146274476,Priya Verma,priya.verma14@lpu.in,Lovely Professional University,1,2,77,82,7.29,1,paid,0.62,no,41.97
951957789026,Abhishek Sharma,abhishek.sharma886@srmist.edu.in,SRM Institute of Science and Technology,4,7,88,71,8.89,0,unpaid,0.63,yes,45.73
833330557385,Ishaan Reddy,ishaan.reddy480@srmist.edu.in,SRM Institute of Science and Technology,1,1,47,37,4.71,6,paid,0.38,no,84.09
683136933469,Rahul Tiwari,rahul.tiwari81@amity.edu,Amity University,3,5,80,100,9.22,0,delayed,1,yes,13.39
202897610638,Rahul Mukherjee,rahul.mukherjee141@dayanandasagar.edu,Dayananda Sagar College of Engineering,4,7,79,78,9.11,0,paid,0.83,no,36.78
813767493702,Vikas Kulkarni,vikas.kulkarni372@nmamit.nitte.edu.in,NMAM Institute of Technology,4,7,76,84,8.59,0,paid,1,yes,12.95
994975623865,Riya Yadav,riya.yadav212@lpu.in,Lovely Professional University,2,3,92,70,8.08,0,paid,0.81,no,16.15
661923118137,Swati Rajput,swati.rajput784@bmsce.ac.in,BMS College of Engineering,1,1,74,79,8.36,2,paid,0.47,no,20.64
737778378038,Reyansh Mishra,reyansh.mishra604@hithaldia.ac.in,Haldia Institute of Technology,1,2,51,68,6.68,2,paid,0.25,no,63.34
981671240954,Sneha Singh,sneha.singh701@mitwpu.edu.in,MIT World Peace University,1,1,60,65,7.63,0,delayed,1,no,73.63
226677195034,Manoj Deshmukh,manoj.deshmukh517@thapar.edu,Thapar Institute of Engineering and Technology,2,3,67,30,4.71,5,unpaid,0.1,no,94.42
651947855594,Pranav Banerjee,pranav.banerjee302@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,2,3,77,94,8.14,0,paid,0.74,no,18.44
990150803041,Aditi Mishra,aditi.mishra836@amity.edu,Amity University,2,3,75,81,9.13,1,paid,0.5,no,12.55
159509651242,Sonam Banerjee,sonam.banerjee841@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,1,2,57,54,5.9,4,paid,0.39,no,68.47
920033103443,Kavya Joshi,kavya.joshi235@dayanandasagar.edu,Dayananda Sagar College of Engineering,1,2,48,32,4.57,6,paid,0.1,no,87.85
186137767403,Abhinav Gupta,abhinav.gupta576@vit.ac.in,Vellore Institute of Technology,2,3,48,52,5.51,3,unpaid,0.2,no,93.27
490301631111,Ayaan Desai,ayaan.desai941@lpu.in,Lovely Professional University,3,6,81,76,9.8,0,paid,0.83,no,17.44
840927767147,Dev Patel,dev.patel543@nmamit.nitte.edu.in,NMAM Institute of Technology,3,5,69,77,6.79,2,paid,0.51,no,35.75
342035325251,Kabir Sharma,kabir.sharma226@pes.edu,PES University,2,4,72,77,6.88,2,delayed,0.39,no,65.22
238304580170,Vikas Reddy,vikas.reddy863@bmsce.ac.in,BMS College of Engineering,1,1,72,58,5.25,6,paid,0.2,yes,61.67
651544734817,Anjali Patil,anjali.patil96@kiit.ac.in,KIIT University,2,3,68,75,7.52,0,paid,0.63,no,22.99
779628550538,Vikas Kulkarni,vikas.kulkarni822@pes.edu,PES University,2,3,58,47,4.78,5,paid,0.42,no,65.19
786059523599,Sanjay Patel,sanjay.patel688@dayanandasagar.edu,Dayananda Sagar College of Engineering,3,6,63,45,6.14,5,paid,0.19,no,64.33
478656810197,Riya Das,riya.das502@bmsce.ac.in,BMS College of Engineering,3,6,39,38,5.86,3,paid,0.01,no,84.6
326557875450,Arjun Das,arjun.das690@lpu.in,Lovely Professional University,4,7,73,59,7.49,1,paid,0.65,no,49.28
660411599975,Priya Desai,priya.desai137@manipal.edu,Manipal Institute of Technology,3,5,44,69,4.65,3,paid,0,no,88.28
813532168382,Vivaan Desai,vivaan.desai339@bmsce.ac.in,BMS College of Engineering,2,3,69,67,9.39,0,delayed,0.96,no,22.4
891767768388,Aryan Chaudhary,aryan.chaudhary517@manipal.edu,Manipal Institute of Technology,1,2,57,79,6.94,2,paid,0.69,no,58.36
665220653699,Raj Deshmukh,raj.deshmukh642@bmsce.ac.in,BMS College of Engineering,4,7,65,79,6.99,1,paid,0.64,no,34.47
724461609662,Pooja Kumar,pooja.kumar235@pes.edu,PES University,3,5,62,55,6.36,0,paid,0.4,no,57.7
256509524698,Aarti Rao,aarti.rao131@hithaldia.ac.in,Haldia Institute of Technology,3,6,53,33,4.3,3,paid,0.33,no,73.38
241766221354,Nidhi Bose,nidhi.bose274@manipal.edu,Manipal Institute of Technology,1,2,83,92,8.16,0,paid,0.77,no,18.67
602947847410,Dev Sharma,dev.sharma632@manipal.edu,Manipal Institute of Technology,2,4,68,60,7,0,paid,0.51,no,51.48
240343899053,Arjun Bose,arjun.bose807@kiit.ac.in,KIIT University,3,5,77,100,9.8,0,paid,0.72,no,30.64
977216676999,Arjun Rajput,arjun.rajput952@mitwpu.edu.in,MIT World Peace University,1,1,53,66,6.45,2,delayed,0.71,no,53.96
915442762240,Pranav Gupta,pranav.gupta748@bmsce.ac.in,BMS College of Engineering,2,4,46,34,4.62,6,unpaid,0.17,no,98.32
482680754756,Sonam Kumar,sonam.kumar478@kiit.ac.in,KIIT University,4,7,91,70,8.83,0,delayed,0.59,no,21.72
772554270038,Reyansh Rajput,reyansh.rajput683@vit.ac.in,Vellore Institute of Technology,4,7,82,50,7.6,2,delayed,0.5,no,34.31
690020930059,Aditi Rao,aditi.rao312@kiit.ac.in,KIIT University,1,1,64,40,5.47,1,paid,0.77,no,39.54
256232251020,Dhruv Iyer,dhruv.iyer598@amity.edu,Amity University,1,1,85,84,9.04,0,paid,0.61,no,26.87
453569320024,Khushi Mukherjee,khushi.mukherjee730@amity.edu,Amity University,4,8,73,55,6.27,4,unpaid,0.42,no,86.28
708797422202,Sumit Chauhan,sumit.chauhan616@mitwpu.edu.in,MIT World Peace University,3,5,35,37,4.23,6,paid,0,yes,89.71
405956868940,Vivek Chauhan,vivek.chauhan715@amity.edu,Amity University,4,7,86,58,5.96,0,paid,0.42,no,21.73
688118105838,Aaryan Shah,aaryan.shah45@thapar.edu,Thapar Institute of Engineering and Technology,3,5,58,64,4.58,2,delayed,0.65,no,74.37
820032832372,Aryan Chatterjee,aryan.chatterjee391@amity.edu,Amity University,4,8,74,39,7.07,1,paid,0.52,no,38.46
948100186109,Rohan Patil,rohan.patil933@msrit.edu,MS Ramaiah Institute of Technology,4,8,89,61,9.8,0,paid,0.96,no,14.55
116362905187,Aditya Mukherjee,aditya.mukherjee928@pes.edu,PES University,2,4,38,47,4.33,3,delayed,0,no,87.34
317189286994,Yash Mishra,yash.mishra637@manipal.edu,Manipal Institute of Technology,4,7,92,74,9.48,0,paid,0.85,no,11.96
123574192830,Anjali Gupta,anjali.gupta756@lpu.in,Lovely Professional University,3,5,84,70,7.54,0,paid,0.65,no,29.33
151483458200,Arjun Shah,arjun.shah251@hithaldia.ac.in,Haldia Institute of Technology,2,4,84,89,8.91,0,paid,1,no,13.7
619307598359,Ayaan Chauhan,ayaan.chauhan27@rvce.edu.in,RV College of Engineering,1,2,63,58,8.9,1,paid,0.65,no,37.05
732637148544,Vivaan Mishra,vivaan.mishra742@bmsce.ac.in,BMS College of Engineering,4,7,37,51,5.35,4,paid,0.2,no,87.29
457983313863,Akash Sharma,akash.sharma28@thapar.edu,Thapar Institute of Engineering and Technology,2,4,83,77,6.51,2,paid,0.83,no,17.9
122712687437,Riya Verma,riya.verma754@manipal.edu,Manipal Institute of Technology,3,6,69,72,8.75,1,paid,0.48,no,35.73
814438875652,Manoj Gupta,manoj.gupta861@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,4,8,77,59,7.8,0,paid,0.49,yes,25.62
625587177970,Arjun Yadav,arjun.yadav297@hithaldia.ac.in,Haldia Institute of Technology,2,4,70,45,7.49,0,paid,0.51,no,42.53
571329448160,Shreya Kulkarni,shreya.kulkarni309@srmist.edu.in,SRM Institute of Science and Technology,1,2,52,47,5.27,4,delayed,0.41,yes,82.26
834639279426,Abhishek Iyer,abhishek.iyer794@rvce.edu.in,RV College of Engineering,1,1,80,78,7.81,0,paid,0.98,no,38.07
629154742816,Shruti Joshi,shruti.joshi555@kiit.ac.in,KIIT University,2,4,86,93,9.19,0,delayed,0.55,no,15.11
252897463998,Mukesh Chauhan,mukesh.chauhan109@pes.edu,PES University,4,8,74,82,7.39,0,paid,0.28,no,10.99
203254617690,Swati Patil,swati.patil312@hithaldia.ac.in,Haldia Institute of Technology,2,3,40,42,4.83,4,paid,0.13,no,87.84
134639240368,Akash Mukherjee,akash.mukherjee660@thapar.edu,Thapar Institute of Engineering and Technology,4,7,55,47,6.54,0,paid,0.38,no,47.14
615330933497,Abhinav Nair,abhinav.nair671@bmsce.ac.in,BMS College of Engineering,2,4,95,70,8.21,0,paid,0.57,no,17.47
522092736148,Aarav Mishra,aarav.mishra700@msrit.edu,MS Ramaiah Institute of Technology,1,2,78,50,7.9,0,paid,0.61,no,24.25
521095330516,Riya Rao,riya.rao336@pes.edu,PES University,3,5,65,78,8.56,0,unpaid,0.64,no,56.82
692160556056,Amit Menon,amit.menon64@amity.edu,Amity University,1,2,52,48,5.59,1,paid,0.01,no,71.28
761470949236,Suresh Tiwari,suresh.tiwari296@dayanandasagar.edu,Dayananda Sagar College of Engineering,1,1,74,74,6.59,2,paid,0.55,no,46.3
265490913887,Dhruv Desai,dhruv.desai554@lpu.in,Lovely Professional University,3,6,88,71,6.39,1,paid,0.74,no,28.64
222369880888,Ritik Nair,ritik.nair262@srmist.edu.in,SRM Institute of Science and Technology,1,1,43,42,5.48,1,paid,0.56,no,60.56
145088683085,Manoj Deshmukh,manoj.deshmukh382@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,3,6,82,79,7.94,2,paid,0.49,no,58.17
438928435369,Aditi Mishra,aditi.mishra643@rvce.edu.in,RV College of Engineering,1,1,93,75,8.09,0,paid,0.63,yes,33.11
957446302177,Amit Rajput,amit.rajput877@kiit.ac.in,KIIT University,1,2,59,60,5.77,1,paid,0.3,no,56.86
883416399212,Reyansh Rao,reyansh.rao270@bmsce.ac.in,BMS College of Engineering,2,4,51,45,4.38,1,paid,0,no,79.71
236996287299,Reyansh Mukherjee,reyansh.mukherjee906@mitwpu.edu.in,MIT World Peace University,3,6,92,60,8.09,0,paid,0.76,no,20.9
638650864885,Suresh Das,suresh.das762@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,3,5,72,66,7.56,1,paid,0.81,no,30.22
150352764413,Vihaan Rao,vihaan.rao19@pes.edu,PES University,3,5,95,73,9.03,0,paid,0.82,yes,13.58
963261371184,Rohan Nair,rohan.nair188@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,1,2,65,58,7.71,0,paid,0.37,no,41.5
317888179824,Mukesh Patel,mukesh.patel530@rvce.edu.in,RV College of Engineering,4,7,44,51,5.65,4,paid,0.09,no,83.67
445530433232,Dhruv Banerjee,dhruv.banerjee188@lpu.in,Lovely Professional University,2,3,87,82,8.26,1,paid,0.31,no,40.52
724677698658,Vikas Patil,vikas.patil452@mitwpu.edu.in,MIT World Peace University,2,3,45,48,5.59,2,paid,0.21,no,82.6
379408893867,Dhruv Desai,dhruv.desai305@rvce.edu.in,RV College of Engineering,3,6,90,88,7.36,0,paid,0.74,no,14.34
602193361246,Vikas Iyer,vikas.iyer177@msrit.edu,MS Ramaiah Institute of Technology,1,2,89,57,7.44,2,paid,0.44,no,42.87
621432638622,Ishaan Deshmukh,ishaan.deshmukh114@dayanandasagar.edu,Dayananda Sagar College of Engineering,2,3,53,71,6.3,1,paid,0.38,yes,37.72
109430325183,Amit Chauhan,amit.chauhan619@manipal.edu,Manipal Institute of Technology,1,2,78,56,8.39,0,paid,0.59,no,15.82
892159664777,Rahul Chatterjee,rahul.chatterjee528@kiit.ac.in,KIIT University,2,4,71,71,6.71,2,unpaid,0.6,no,80.62
149534165103,Rahul Kumar,rahul.kumar170@manipal.edu,Manipal Institute of Technology,2,3,62,55,7.13,2,delayed,0.26,no,72.45
140518964089,Amit Iyer,amit.iyer385@manipal.edu,Manipal Institute of Technology,4,8,81,98,9.36,0,paid,0.76,no,10.05
650753595230,Aarti Deshmukh,aarti.deshmukh731@msrit.edu,MS Ramaiah Institute of Technology,1,2,61,65,7.68,0,delayed,0.54,no,46.16
986971352259,Vivek Patel,vivek.patel636@rvce.edu.in,RV College of Engineering,3,6,78,74,6.86,0,paid,0.45,no,34.99
993749451275,Shaurya Sharma,shaurya.sharma251@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,4,8,35,30,4.03,5,paid,0,no,93.99
754175982633,Abhishek Pandey,abhishek.pandey468@lpu.in,Lovely Professional University,2,4,83,86,9,1,paid,0.6,no,24.5
673125895763,Aryan Patil,aryan.patil61@srmist.edu.in,SRM Institute of Science and Technology,4,8,147,88,6.95,2,paid,0.81,no,15.34
355373142949,Sonam Gupta,sonam.gupta84@nmamit.nitte.edu.in,NMAM Institute of Technology,3,5,85,76,7.75,0,paid,0.52,yes,40.99
649585240897,Yash Pandey,yash.pandey462@vit.ac.in,Vellore Institute of Technology,4,8,85,65,7.05,1,paid,0.56,no,24.91
135116936840,Aditi Desai,aditi.desai389@bmsce.ac.in,BMS College of Engineering,1,1,105,65,6.94,1,paid,0.39,no,66.34
873316599916,Krishna Verma,krishna.verma414@mitwpu.edu.in,MIT World Peace University,4,8,75,65,8.37,0,paid,0.58,no,56.54
391864894129,Manoj Iyer,manoj.iyer30@pes.edu,PES University,4,8,46,77,4.27,1,paid,0.01,no,72.47
307448880192,Aryan Rajput,aryan.rajput143@msrit.edu,MS Ramaiah Institute of Technology,2,3,77,53,6.65,2,paid,0.7,no,36.73
504591811747,Swati Mishra,swati.mishra593@bmsce.ac.in,BMS College of Engineering,1,1,63,67,7.62,1,paid,0.44,no,47.22
327728276194,Aarti Kulkarni,aarti.kulkarni622@lpu.in,Lovely Professional University,4,8,81,95,6.74,0,paid,0.59,no,22.9
827186767397,Vivaan Rajput,vivaan.rajput904@nmamit.nitte.edu.in,NMAM Institute of Technology,3,6,90,84,8.69,0,paid,0.97,yes,4.15
216054402720,Vikas Chaudhary,vikas.chaudhary894@vit.ac.in,Vellore Institute of Technology,2,4,92,80,7.37,2,paid,0.5,no,48.05
889383482174,Pranav Yadav,pranav.yadav736@pes.edu,PES University,4,7,71,37,5.27,5,delayed,0.05,no,89.24
379603306850,Aditi Patel,aditi.patel489@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,2,3,81,70,7.22,0,delayed,0.39,no,48.89
722931915872,Ayaan Yadav,ayaan.yadav197@hithaldia.ac.in,Haldia Institute of Technology,1,2,70,71,7.4,0,unpaid,0.27,no,83.01
903797290443,Krishna Singh,krishna.singh958@bmsce.ac.in,BMS College of Engineering,3,6,79,61,8.58,1,paid,0.71,no,21.6
925513831054,Priya Chatterjee,priya.chatterjee344@rvce.edu.in,RV College of Engineering,1,1,59,73,8.29,1,paid,0.65,no,34.18
488839594007,Anjali Shah,anjali.shah222@pes.edu,PES University,3,5,59,60,7.12,1,paid,0.32,no,40.11
933622604313,Shyam Deshmukh,shyam.deshmukh193@manipal.edu,Manipal Institute of Technology,1,1,76,77,9.03,0,paid,0.57,no,42.69
180190936387,Aryan Sharma,aryan.sharma405@rvce.edu.in,RV College of Engineering,4,8,84,86,7.52,1,delayed,0.5,no,25.95
309992746498,Ayaan Joshi,ayaan.joshi950@rvce.edu.in,RV College of Engineering,3,5,89,62,9.06,0,paid,0.62,no,17.86
201008866230,Manoj Sharma,manoj.sharma246@rvce.edu.in,RV College of Engineering,3,5,83,84,8.83,0,paid,0.55,no,35.26
397786243072,Neha Patil,neha.patil733@dayanandasagar.edu,Dayananda Sagar College of Engineering,4,8,78,60,7.83,2,delayed,0.73,no,43.21
801655430367,Neha Deshmukh,neha.deshmukh441@thapar.edu,Thapar Institute of Engineering and Technology,4,8,58,76,7.4,2,paid,0.52,no,41.91
618170276543,Sumit Desai,sumit.desai984@lpu.in,Lovely Professional University,2,3,92,64,6.61,2,delayed,0.11,no,56.61
757501617941,Sanjay Desai,sanjay.desai480@manipal.edu,Manipal Institute of Technology,2,4,68,83,7.72,0,unpaid,0.32,no,66.07
935068893382,Manoj Kumar,manoj.kumar459@hithaldia.ac.in,Haldia Institute of Technology,2,3,100,74,7.87,0,paid,0.63,no,15.88
896339151322,Aditi Kulkarni,aditi.kulkarni150@mitwpu.edu.in,MIT World Peace University,4,7,35,52,4.48,6,delayed,0,no,93.97
948117156557,Priya Rajput,priya.rajput378@mitwpu.edu.in,MIT World Peace University,3,5,57,40,8.03,2,paid,0.54,no,57.28
230955104837,Vihaan Chatterjee,vihaan.chatterjee275@kiit.ac.in,KIIT University,3,5,45,53,5.86,5,paid,0.02,no,86.53
810033300837,Shaurya Deshmukh,shaurya.deshmukh670@bmsce.ac.in,BMS College of Engineering,2,3,94,87,8.29,0,paid,0.65,yes,16.22
638133261233,Ritik Das,ritik.das587@pes.edu,PES University,1,2,73,79,6.96,0,paid,0.46,no,22.19
446563761889,Mukesh Rao,mukesh.rao345@bmsce.ac.in,BMS College of Engineering,3,6,74,63,6.51,0,paid,0.61,no,53.22
786145678701,Aditi Kumar,aditi.kumar42@rvce.edu.in,RV College of Engineering,4,7,69,68,7.45,2,paid,0.44,no,56.61
204719534443,Ishaan Bose,ishaan.bose293@mitwpu.edu.in,MIT World Peace University,3,5,54,31,4.52,6,paid,0,no,84.08
293980160429,Amit Rao,amit.rao283@dayanandasagar.edu,Dayananda Sagar College of Engineering,1,1,92,68,7.81,0,paid,0.13,no,28.95
423808590945,Dev Das,dev.das20@hithaldia.ac.in,Haldia Institute of Technology,4,7,64,77,7.41,0,paid,0.63,no,15.75
950480488779,Aarti Sharma,aarti.sharma725@thapar.edu,Thapar Institute of Engineering and Technology,4,8,47,58,6.65,3,paid,0.22,no,49.69
993502719665,Ishaan Bose,ishaan.bose530@hithaldia.ac.in,Haldia Institute of Technology,3,5,82,82,7.79,0,paid,0.78,no,29
506452385418,Atharva Banerjee,atharva.banerjee203@mitwpu.edu.in,MIT World Peace University,4,7,64,56,5.36,4,unpaid,0,no,95.69
527915730023,Neha Patel,neha.patel501@msrit.edu,MS Ramaiah Institute of Technology,4,7,72,64,6.69,1,delayed,0.66,no,56.38
333789212961,Pranav Patel,pranav.patel156@mitwpu.edu.in,MIT World Peace University,1,1,67,79,7.89,2,paid,0.59,no,39.7
658709520682,Sumit Iyer,sumit.iyer77@thapar.edu,Thapar Institute of Engineering and Technology,4,8,42,54,5.59,4,delayed,0.17,no,91.87
481299842305,Neha Kulkarni,neha.kulkarni479@dayanandasagar.edu,Dayananda Sagar College of Engineering,3,6,86,72,8.73,1,paid,0.84,no,14.6
497976241638,Dev Das,dev.das308@hithaldia.ac.in,Haldia Institute of Technology,1,2,38,36,4.27,1,unpaid,0,no,95.92
755311905249,Priya Rajput,priya.rajput26@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,3,6,66,43,7.55,1,paid,0.46,no,53.85
471939795084,Aarav Rao,aarav.rao563@vit.ac.in,Vellore Institute of Technology,3,6,81,85,9.01,0,paid,0.77,no,23.63
429923704869,Suresh Kulkarni,suresh.kulkarni476@kiit.ac.in,KIIT University,3,5,86,69,8.33,0,paid,0.96,no,15.06
727085330926,Dev Chauhan,dev.chauhan422@thapar.edu,Thapar Institute of Engineering and Technology,1,1,69,65,6.87,0,delayed,0.37,no,63.89
815203663754,Mukesh Chauhan,mukesh.chauhan210@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,2,3,75,75,8.59,0,paid,0.58,no,28.21
157296315454,Ayaan Chaudhary,ayaan.chaudhary454@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,3,5,77,89,9.27,0,unpaid,0.81,no,40.87
613579559417,Vivek Verma,vivek.verma460@rvce.edu.in,RV College of Engineering,1,2,76,70,7.21,0,paid,0.62,no,30.42
425248175336,Ananya Thakur,ananya.thakur918@msrit.edu,MS Ramaiah Institute of Technology,4,7,81,70,8.66,1,paid,0.67,no,28.21
926668521276,Aaryan Patil,aaryan.patil835@amity.edu,Amity University,1,1,84,81,7.9,0,paid,0.69,no,35.69
703815204548,Aditya Mukherjee,aditya.mukherjee636@lpu.in,Lovely Professional University,1,2,89,61,7.26,0,paid,0.66,no,31.67
734925404929,Sumit Pandey,sumit.pandey809@vit.ac.in,Vellore Institute of Technology,3,6,66,60,5.05,1,paid,0.23,no,62.95
201049853757,Abhishek Kulkarni,abhishek.kulkarni272@thapar.edu,Thapar Institute of Engineering and Technology,2,4,66,68,7.57,1,paid,0.14,no,52.16
153629118635,Neha Chauhan,neha.chauhan749@dayanandasagar.edu,Dayananda Sagar College of Engineering,1,1,83,61,5.83,1,paid,0.43,no,52.91
327146925302,Rohan Singh,rohan.singh531@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,2,4,69,76,7.77,0,unpaid,0.89,no,56.66
268462253384,Sonam Sengupta,sonam.sengupta726@amity.edu,Amity University,1,2,58,31,5.38,2,delayed,0.13,no,84.38
753951792958,Ishaan Kumar,ishaan.kumar362@pes.edu,PES University,2,4,82,71,6.81,2,paid,0.41,no,18.7
117694607368,Shyam Deshmukh,shyam.deshmukh483@nmamit.nitte.edu.in,NMAM Institute of Technology,2,4,50,45,5.88,5,delayed,0.03,no,92.99
944882759611,Ramesh Chauhan,ramesh.chauhan563@amity.edu,Amity University,1,1,55,62,6,2,paid,0.48,no,79.82
686140526305,Kavya Joshi,kavya.joshi779@bmsce.ac.in,BMS College of Engineering,4,7,93,79,8.93,0,paid,0.65,no,10.26
197602211755,Aaryan Kulkarni,aaryan.kulkarni111@manipal.edu,Manipal Institute of Technology,2,3,35,48,4.46,2,unpaid,0.09,no,96.15
905175365403,Sanjay Reddy,sanjay.reddy958@dayanandasagar.edu,Dayananda Sagar College of Engineering,4,7,95,100,7.63,0,paid,0.54,no,18.09
